OBJECTID,RID,GENERIC CASE ID,GENERIC OFFENDER ID,CHARGE NUMBER,SENTENCE YEAR,GENDER,AGE GROUP,RACE,SENTENCE TYPE,HOMICIDE TYPE,OFFENSE SEVERITY GROUP,SENTENCE IMPOSED MONTHS,SENTENCE SUSPENDED MONTHS,SENTENCE TO SERVE MONTHS,SENTENCE PROBATION MONTHS,VVCA AMT,FINE AMT,RESTITUTION AMT,FINE SUSPENDED AMT,GIS ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SEVERITY_OF_OFFENSE,PRESENCE_OF_WITNESS,SEVERITY_OF_OFFENSE_ID,OFFENSE TYPE
4225,4079,2500231,4690185,3.1415,2018.0,M,31-40,Black,Incarceration,,M7,360.0,0.0,30.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_4225,{490EB48C-51D7-49C9-B2DA-CC69D4C8C3DF},,,,,infractions,Yes,22986,Property
1279,1132,7308442,7562929,3.1415,2019.0,M,22-30,Black,Probation,,M8,144.0,12.0,0.0,12.0,100.0,0.0,0.0,0.0,Felony_Sentences_1279,{66A42EE7-5AD8-4594-BDE0-7BDA6729FD61},,,,,felonies,Yes,54612,Weapon
3714,3568,4947022,3859656,12.566,2018.0,M,22-30,Black,,,M8,144.0,9.0,3.0,30.0,100.0,0.0,0.0,0.0,Felony_Sentences_3714,{CF48099C-0CB7-4A6A-8E98-3684FB77E5DB},,,,,misdemeanours,Yes,22986,Weapon
10888,10018,825387,2312222,3.1415,2015.0,M,22-30,Black,Incarceration,,D2,312.0,0.0,26.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_10888,{12896F2D-45E6-4769-B57D-17FCB6C9C742},,,,,infractions,Yes,23891,Drug
853,994,1028095,8269622,12.566,2019.0,M,41-50,White,Incarceration,,M6,576.0,0.0,48.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_853,{04E74A61-39C2-4263-9333-662E0748DF94},,,,,misdemeanours,No,23891,Sex
15540,15149,4027722,2018640,15.707500000000001,2012.0,M,22-30,Black,Incarceration,Voluntary Manslaughter,M4,1296.0,0.0,108.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_15540,{C1C0B006-5AEA-41E5-A0C7-D818C9434BAC},,,,,infractions,Yes,23891,Homicide
19561,19111,7025703,3145649,6.283,2011.0,M,22-30,Black,Incarceration,,M8,192.0,0.0,16.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_19561,{38C8BCDF-1887-4C6B-B4A4-EBCD26045E77},,,,,infractions,Yes,54612,Property
16281,16685,4626519,1547220,3.1415,2012.0,M,22-30,Black,Incarceration,,D2,504.0,0.0,,0.0,1500.0,0.0,0.0,0.0,Felony_Sentences_16281,{DCA0C23C-FB2B-40BA-A170-9CB84A9F4CD5},,,,,misdemeanours,Yes,22986,Drug
1517,1370,8878987,4320741,3.1415,2019.0,M,18-21,Black,Short Split,,M8,336.0,28.0,1.0,12.0,100.0,0.0,0.0,0.0,Felony_Sentences_1517,{95CA7E11-6764-46D5-AA89-428B8719F089},,,,,misdemeanours,No,23891,Weapon
19998,19226,1539058,1934158,6.283,2011.0,M,22-30,Black,Incarceration,,M5,1152.0,0.0,,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_19998,{15BC3E7C-6650-43F9-99D8-F53FDC310CC1},,,,,felonies,No,23891,Violent
12894,12965,5690568,503104,3.1415,2013.0,M,22-30,Black,Incarceration,Murder II,M2,2448.0,0.0,204.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_12894,{11D95251-D470-4077-B526-1E88B3CA75C6},,,,,misdemeanours,No,54612,Homicide
5303,4638,6310811,6579923,3.1415,2017.0,M,51-60,Black,Probation,,M8,288.0,24.0,0.0,3.0,100.0,0.0,0.0,0.0,Felony_Sentences_5303,{51B0362D-399A-4A3F-B310-1CD5AA7AA968},,,,,felonies,Yes,23891,Weapon
9279,10650,5779070,8029483,18.849,2014.0,M,18-21,Black,Incarceration,,M5,720.0,0.0,60.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_9279,{348638E4-1392-4E75-BFD1-B9D0F03DC5E8},,,,,felonies,Yes,22986,Weapon
8265,8743,4843736,2366000,3.1415,2015.0,M,51-60,Black,Incarceration,Murder II,M2,1728.0,0.0,144.0,0.0,250.0,0.0,0.0,0.0,Felony_Sentences_8265,{299FDCD2-2192-49C0-82CE-14370EC0605B},,,,,misdemeanours,No,23891,Homicide
7413,6930,7062531,197130,9.4245,2016.0,M,31-40,Black,Incarceration,,M8,216.0,0.0,18.0,0.0,100.0,,0.0,0.0,Felony_Sentences_7413,{7ADD931D-7FA9-401A-BF99-29BD2CCDD5C2},,,,,misdemeanours,No,23891,Violent
1900,2048,3548888,9514029,3.1415,2019.0,M,41-50,Other or Unknown,Probation,,M9,72.0,6.0,0.0,60.0,100.0,0.0,0.0,0.0,Felony_Sentences_1900,{4FA720E3-6479-411F-955A-60CD26325957},,,,,felonies,Yes,22986,Other
3494,3639,679228,7000471,3.1415,2018.0,F,22-30,Black,Probation,,M8,120.0,10.0,0.0,12.0,100.0,0.0,0.0,0.0,Felony_Sentences_3494,{ABD2A626-F1C5-4D49-AD00-78AEC3F63847},,,,,misdemeanours,Yes,22986,Violent
1233,1086,2588796,3072654,3.1415,2019.0,M,22-30,Black,Probation,,M8,132.0,11.0,0.0,18.0,100.0,0.0,0.0,0.0,Felony_Sentences_1233,{7DAFBF10-730B-4EFE-A983-C441CC36548E},,,,,misdemeanours,No,23891,Weapon
5704,6435,9037996,1375349,3.1415,2017.0,M,22-30,Black,Incarceration,,M7,360.0,0.0,30.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_5704,{E4AB6773-4624-425B-99D8-30E460EE670C},,,,,infractions,Yes,23891,Weapon
837,978,1096720,4290005,3.1415,2019.0,M,31-40,Black,Incarceration,,M8,144.0,0.0,12.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_837,{CFF2EEE4-548A-478B-8CC7-61B07107AFE0},,,,,felonies,Yes,22986,Weapon
21675,22083,234471,1491349,3.1415,2010.0,M,31-40,,Incarceration,,D3,264.0,0.0,22.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_21675,{4D8E42AD-EDED-4DAA-ACE6-D9429D739359},,,,,felonies,Yes,23891,Drug
18922,18406,9823832,8596961,3.1415,2012.0,M,18-21,Black,Incarceration,,M8,144.0,0.0,12.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_18922,{9C9CC7AF-E784-4D30-967B-EF2F784070E2},,,,,misdemeanours,No,22986,Violent
14377,14858,5358357,2505922,3.1415,2013.0,M,18-21,Black,Probation,,M8,192.0,16.0,0.0,18.0,100.0,0.0,,0.0,Felony_Sentences_14377,{3FDEC878-771A-4A88-B8EA-2490AC6D4A2E},,,,,misdemeanours,Yes,22986,Violent
20337,20446,6282966,7476515,3.1415,2011.0,M,22-30,Black,Short Split,,M8,96.0,6.0,2.0,16.0,100.0,0.0,0.0,0.0,Felony_Sentences_20337,{C7E901D9-9F01-4EEF-84DD-28E71BB09C16},,,,,misdemeanours,Yes,54612,Violent
19049,20134,9591109,5922726,6.283,2011.0,M,22-30,Black,Probation,,D2,192.0,16.0,0.0,24.0,100.0,0.0,0.0,0.0,Felony_Sentences_19049,{B667BEE5-6C94-45CD-B8FA-A8F9D3864E75},,,,,infractions,Yes,54612,Drug
23838,24228,2512466,1665935,3.1415,2010.0,M,41-50,Black,Probation,,D2,192.0,16.0,0.0,24.0,100.0,0.0,0.0,0.0,Felony_Sentences_23838,{F4AB2CA1-D25C-4D22-9C5B-AB0859C80CE1},,,,,misdemeanours,No,54612,Drug
22232,21649,3311198,147802,3.1415,2011.0,M,22-30,Black,Incarceration,,M5,1296.0,0.0,108.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_22232,{ABEC2341-4CFB-4343-AE86-D2B89EE8811B},,,,,misdemeanours,No,54612,Sex
15578,15803,3249704,1869513,3.1415,2012.0,M,41-50,Black,Incarceration,,D2,360.0,0.0,30.0,,100.0,0.0,,0.0,Felony_Sentences_15578,{3A0C0252-7B9B-4548-9A78-62C831944CC4},,,,,misdemeanours,No,54612,Drug
19216,18483,9412055,4079078,91.10350000000001,2011.0,M,22-30,Black,Incarceration,,M6,288.0,0.0,24.0,0.0,100.0,0.0,0.0,,Felony_Sentences_19216,{709C6F6A-35FA-4B27-A1FE-D570ECC92012},,,,,misdemeanours,Yes,54612,Violent
19153,19504,2967745,9548708,3.1415,2011.0,,31-40,Black,Incarceration,,M6,600.0,0.0,50.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_19153,{855BB072-D792-4A5D-9D3A-7455FBDCB7AC},,,,,felonies,Yes,22986,Violent
10000,9792,6479045,8863154,3.1415,2015.0,M,51-60,Black,Probation,,M8,288.0,24.0,0.0,24.0,100.0,0.0,0.0,0.0,Felony_Sentences_10000,{21A4F5F5-DF16-4319-AAC7-1B1A0927E7F9},,,,,felonies,Yes,54612,Violent
6029,4809,3059063,8000826,34.5565,2017.0,M,22-30,Black,Incarceration,,M7,216.0,0.0,18.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_6029,{A2B151C7-75FB-43B3-9987-BA34F48EE518},,,,,felonies,Yes,23891,Weapon
10201,10979,4238006,1820985,6.283,,M,22-30,Black,Incarceration,,M6,1584.0,0.0,132.0,0.0,100.0,0.0,0.0,,Felony_Sentences_10201,{6A1FC18F-F883-460B-AC51-15A63BFD60FE},,,,,infractions,Yes,22986,Violent
22650,21177,5560604,7153104,3.1415,2011.0,M,18-21,Black,Incarceration,,M6,360.0,0.0,30.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_22650,{B2D0ADD5-9773-498B-8108-A513BE6169FF},,,,,infractions,Yes,23891,Violent
1368,1509,2805319,2636259,3.1415,2019.0,M,22-30,Black,Incarceration,,M8,144.0,0.0,12.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_1368,{740F84CA-F75C-4DF4-9200-1B5DE5982E47},,,,,felonies,Yes,54612,Weapon
1332,1473,6782751,9464004,3.1415,2019.0,M,22-30,Black,Probation,,M8,120.0,10.0,0.0,15.0,,0.0,0.0,0.0,Felony_Sentences_1332,{CD736CDA-717B-4DDC-8C25-B4022F4D58D8},,,,,infractions,Yes,22986,Weapon
17225,17892,5009835,3316346,6.283,2012.0,M,41-50,Black,Probation,,D3,288.0,24.0,0.0,18.0,100.0,0.0,0.0,0.0,Felony_Sentences_17225,{CC5C1026-7097-403B-B9B1-3122E3A5F27B},,,,,felonies,Yes,22986,Drug
21483,21446,2307444,3501002,3.1415,,F,51-60,Black,Probation,,D2,144.0,12.0,,12.0,,0.0,0.0,0.0,Felony_Sentences_21483,{D1CBD144-027F-4E6A-87A5-C690138DE77A},,,,,misdemeanours,Yes,23891,Drug
3413,3267,1623191,4462501,3.1415,2018.0,M,51-60,Black,Probation,,D3,120.0,10.0,0.0,12.0,100.0,0.0,0.0,0.0,Felony_Sentences_3413,{7312F691-861A-45B5-A858-05817B60718F},,,,,infractions,No,23891,Drug
24437,23373,6330321,3891585,3.1415,2010.0,M,18-21,Black,Probation,,D2,288.0,,0.0,24.0,100.0,0.0,0.0,0.0,Felony_Sentences_24437,{9D88CE4E-5BDA-4661-ABB1-C33C3BE005F7},,,,,misdemeanours,Yes,54612,Drug
23244,23523,6321109,8005812,3.1415,,M,41-50,Black,Incarceration,,M7,648.0,,,0.0,,,,0.0,Felony_Sentences_23244,{2CE6E2A5-31E9-46F8-A6BC-E66566BD8749},,,,,misdemeanours,No,54612,Property
22648,21175,6468491,420708,3.1415,2011.0,F,31-40,Black,Short Split,,D3,72.0,6.0,1.0,12.0,100.0,0.0,0.0,0.0,Felony_Sentences_22648,{920653F6-7547-4823-BD93-3836369AE56E},,,,,misdemeanours,Yes,23891,Drug
13256,11881,1578773,415200,3.1415,2014.0,M,51-60,Black,Probation,,D4,36.0,3.0,0.0,,100.0,0.0,0.0,0.0,Felony_Sentences_13256,{7097AF7A-7548-452B-8A83-CBCADA690AB3},,,,,felonies,Yes,54612,Drug
6217,5399,7884559,4484586,,2017.0,M,41-50,Black,Probation,,D3,168.0,14.0,0.0,18.0,100.0,0.0,0.0,0.0,Felony_Sentences_6217,{5A94CB85-7182-4BEA-8741-A0F5A5C3A9A0},,,,,felonies,No,54612,Drug
13709,15905,1283037,7681520,31.415000000000003,2012.0,,22-30,Black,Incarceration,,M9,144.0,0.0,12.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_13709,{CBDC94C5-D8EC-4317-AF9F-3ED7C8867124},,,,,felonies,No,23891,Other
18884,20078,3592616,6806319,3.1415,2011.0,M,22-30,Black,Incarceration,,D3,240.0,0.0,20.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_18884,{14F64C49-89E0-446E-A7C0-56F7814E5D7E},,,,,misdemeanours,No,22986,Drug
14459,13835,9220430,8576933,3.1415,2013.0,M,31-40,Black,Incarceration,,M6,660.0,0.0,55.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_14459,{631EDA94-5A23-41FA-BE3C-D9DA88002BE8},,,,,felonies,No,22986,Violent
7705,6999,62020,9774944,6.283,2016.0,M,31-40,Black,Incarceration,,M2,2160.0,0.0,180.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_7705,{2E2501B6-38D3-42B3-BFF9-2527E5398C59},,,,,infractions,Yes,54612,Sex
4825,6218,9166080,5630111,3.1415,2017.0,M,51-60,Black,Incarceration,,M5,1008.0,0.0,84.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_4825,{FD34C241-AB4A-42CC-B51B-6B397485A4D6},,,,,misdemeanours,Yes,22986,Property
2294,2145,6208866,7326512,6.283,2019.0,M,18-21,Black,Long Split,,M6,576.0,39.0,9.0,30.0,100.0,0.0,0.0,0.0,Felony_Sentences_2294,{9F7C864D-6047-4A3F-AF0F-99F6A0569D7A},,,,,misdemeanours,Yes,22986,Violent
23961,24277,4037503,151839,3.1415,2010.0,F,41-50,Black,Short Split,,M8,,18.0,6.0,36.0,100.0,0.0,660.0,0.0,Felony_Sentences_23961,{C217B7CE-D167-48FF-9655-D6EAD052F941},,,,,infractions,Yes,23891,Property
20104,18707,957588,2553330,28.273500000000002,2011.0,,18-21,Black,Incarceration,,M8,120.0,0.0,10.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_20104,{654205AB-2EA5-49CE-B0F2-74AE5181467F},,,,,felonies,No,23891,Violent
14620,14403,6259254,5685142,6.283,2013.0,F,31-40,Black,Probation,,D3,120.0,10.0,0.0,18.0,100.0,0.0,0.0,0.0,Felony_Sentences_14620,{252522C0-CC26-4581-9F92-28A1E9383E6B},,,,,misdemeanours,No,54612,Drug
9389,9624,1460828,2425443,15.707500000000001,2015.0,M,18-21,Other or Unknown,Incarceration,,M8,384.0,0.0,32.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_9389,{59662362-27A0-4ED1-8C8B-CCCC18ADE2A7},,,,,felonies,Yes,22986,Property
2323,2174,3115828,5561252,6.283,2019.0,M,31-40,Black,Incarceration,,M8,216.0,0.0,18.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_2323,{CD808AE2-0837-4080-A6C2-D5961F800AF9},,,,,misdemeanours,No,54612,Weapon
17070,17852,4514713,3492313,3.1415,2012.0,M,22-30,Black,Probation,,D2,144.0,12.0,0.0,18.0,100.0,0.0,0.0,0.0,Felony_Sentences_17070,{06FF2D0A-507E-4320-9C6F-8211690E169E},,,,,felonies,No,22986,Drug
18488,18305,5144764,3142869,3.1415,2012.0,M,22-30,Black,Incarceration,,,288.0,0.0,24.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_18488,{DFED3000-6CFB-4867-953F-DF8087966923},,,,,infractions,No,22986,Violent
20300,19781,7936863,8560050,3.1415,2011.0,M,22-30,Black,Incarceration,,M5,576.0,0.0,48.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_20300,{3F13F793-549F-428A-B575-77C9094B718A},,,,,felonies,Yes,22986,Violent
22747,20614,4412347,4109844,3.1415,2011.0,M,18-21,Black,Short Split,,M6,288.0,18.0,,18.0,100.0,0.0,0.0,0.0,Felony_Sentences_22747,{61BFBFCB-656F-498D-9DF5-1F15CE3F056B},,,,,felonies,No,54612,Violent
2477,2623,833683,3706478,3.1415,2018.0,M,31-40,Black,Incarceration,,M8,168.0,0.0,14.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_2477,{B77EACA1-05EB-4647-AC3D-DB196A23940B},,,,,infractions,No,23891,Weapon
3332,3441,5646093,5106834,3.1415,2018.0,M,15-17,Black,Short Split,,M6,360.0,24.0,6.0,36.0,100.0,0.0,0.0,0.0,Felony_Sentences_3332,{E43E9CDD-FF65-4B7B-8E4C-4057AC444F9E},,,,,misdemeanours,Yes,23891,Violent
6268,5891,4089822,6349427,9.4245,2017.0,M,22-30,Black,Incarceration,,M6,432.0,0.0,36.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_6268,{CD6BCA3F-02D2-4615-992B-B5D3E3B178B2},,,,,infractions,No,23891,Violent
8139,7098,7069468,3077086,3.1415,2016.0,M,22-30,,Probation,,D2,,,0.0,12.0,100.0,0.0,0.0,0.0,Felony_Sentences_8139,{E4026A00-1A1B-4491-BC53-6B67D5BB650C},,,,,infractions,No,54612,Drug
8645,7818,645184,3340306,3.1415,2016.0,F,41-50,Black,Incarceration,,M6,288.0,0.0,24.0,0.0,100.0,0.0,0.0,,Felony_Sentences_8645,{85BB8B35-87D0-46DB-910E-7F0F24F777B2},,,,,misdemeanours,No,23891,Violent
16344,18080,6543479,4066869,3.1415,2012.0,M,18-21,Black,Incarceration,,M8,168.0,0.0,14.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_16344,{90BCEA65-AF6F-42B6-8293-5099853938EE},,,,,infractions,Yes,54612,Violent
20405,18789,8966030,18683,3.1415,2011.0,,41-50,Black,Short Split,,D2,216.0,14.0,4.0,24.0,100.0,0.0,0.0,0.0,Felony_Sentences_20405,{2BFE6B07-9067-47C4-A94E-1AB763AD5F72},,,,,infractions,No,22986,Drug
6738,7914,3357988,8742897,3.1415,2016.0,M,22-30,White,Short Split,,,120.0,10.0,1.0,18.0,100.0,0.0,0.0,0.0,Felony_Sentences_6738,{01142791-09B5-4550-BDC5-4DEFACC44E5D},,,,,misdemeanours,Yes,22986,Other
7199,8041,4037047,365783,3.1415,2016.0,M,41-50,Black,Incarceration,,M8,,0.0,22.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_7199,{29393AB0-7C5E-4DBC-8D60-A9A23F8C4175},,,,,infractions,No,54612,Violent
1699,1810,1953898,9566441,3.1415,2019.0,M,31-40,Black,Probation,,M8,120.0,10.0,0.0,12.0,100.0,0.0,0.0,0.0,Felony_Sentences_1699,{EC5456A3-6093-4060-AC79-DE9E13173EB9},,,,,infractions,Yes,23891,Weapon
11558,12626,921093,9185886,3.1415,2014.0,M,18-21,Black,Incarceration,,M8,168.0,0.0,14.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_11558,{2D4A7948-1988-47A5-A083-6B002748DC56},,,,,infractions,Yes,54612,Violent
4834,6227,7789127,3817379,3.1415,2017.0,M,15-17,Black,Incarceration,,M8,168.0,0.0,14.0,0.0,100.0,,0.0,0.0,Felony_Sentences_4834,{8EDC60EE-E768-4A6D-BF6B-373AFEC7C8CB},,,,,felonies,Yes,23891,Violent
995,848,6455472,1682854,18.849,2019.0,M,31-40,Black,Incarceration,,M5,720.0,0.0,60.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_995,{C46270F5-5739-49EF-929F-339F0145C9CB},,,,,infractions,No,23891,Weapon
4902,5080,1620063,7976982,3.1415,2017.0,M,51-60,Black,Probation,,D3,120.0,10.0,0.0,9.0,100.0,0.0,0.0,0.0,Felony_Sentences_4902,{E736A2C7-1BB3-41FD-8919-2FD5BD18E2A8},,,,,misdemeanours,Yes,23891,Drug
23314,22998,7800751,9790488,12.566,2010.0,,22-30,Black,Incarceration,,M7,504.0,0.0,42.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_23314,{BD97D002-FD08-4BA9-8EF6-DAE44DD17302},,,,,misdemeanours,Yes,23891,Weapon
4723,4501,7887776,7525158,3.1415,2018.0,M,31-40,Black,Incarceration,,M8,144.0,0.0,12.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_4723,{4354349E-5D68-452F-85B4-934401D3F389},,,,,infractions,No,54612,Weapon
7728,7575,7406494,9517116,12.566,2016.0,M,18-21,Black,Incarceration,,,360.0,0.0,30.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_7728,{3E33EF5F-B3CB-4861-A6C8-ACB9D81F9F6B},,,,,misdemeanours,No,54612,Violent
17301,16927,1444378,5740114,53.4055,2012.0,,41-50,Black,Incarceration,,M5,1008.0,0.0,84.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_17301,{EB86A994-DACE-4E9C-83B9-4458D679EA81},,,,,felonies,No,23891,Other
2610,2467,5574266,2436234,31.415000000000003,2018.0,M,18-21,Black,Incarceration,,,240.0,0.0,20.0,0.0,100.0,0.0,0.0,,Felony_Sentences_2610,{77705D67-8F64-45C1-B74C-CD9D41E28E88},,,,,misdemeanours,No,22986,Weapon
18147,16558,2659054,7470151,3.1415,2012.0,M,51-60,Black,Incarceration,,M6,216.0,0.0,18.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_18147,{93001232-D97B-44FE-8C94-4C6E37B50B74},,,,,felonies,No,54612,Violent
16227,16079,6712551,7352084,3.1415,2012.0,M,15-17,Black,Incarceration,,M5,864.0,0.0,72.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_16227,{AD02B04F-2C53-431B-801A-8A82D2D3F444},,,,,infractions,No,54612,Violent
6929,8818,1710128,7933525,28.273500000000002,2015.0,M,18-21,Black,Incarceration,,M5,720.0,0.0,60.0,0.0,100.0,0.0,,0.0,Felony_Sentences_6929,{2AD8CFBC-C9C0-43DB-8E0A-263825857DCF},,,,,felonies,No,54612,Weapon
22399,22253,1058488,7961293,15.707500000000001,2010.0,M,22-30,,Incarceration,,M6,456.0,0.0,38.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_22399,{38ECD003-DB71-4881-833A-FF308641A192},,,,,felonies,Yes,22986,Violent
17383,17941,8711590,2641583,3.1415,2012.0,M,61-70,Black,,,D3,120.0,10.0,0.0,18.0,100.0,0.0,0.0,0.0,Felony_Sentences_17383,{81A61ED8-A9F7-41B9-A67C-3F3DA5384318},,,,,felonies,Yes,54612,Drug
4354,5529,4424770,4237650,6.283,2017.0,M,51-60,Black,Probation,,D2,,24.0,0.0,24.0,100.0,0.0,0.0,0.0,Felony_Sentences_4354,{1AC929D1-C41F-406F-83E9-E5949E17954D},,,,,infractions,Yes,54612,Drug
15666,14685,1142829,9482262,3.1415,2013.0,M,51-60,Black,Incarceration,,M6,720.0,0.0,60.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_15666,{14ADFEA4-A191-4AD8-BD93-8BC61D8F5227},,,,,infractions,Yes,23891,Violent
20035,19734,1849860,1113583,3.1415,2011.0,,51-60,Black,Incarceration,,D2,144.0,0.0,12.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_20035,{3E77D56C-95C2-473C-B5F3-F6B419EA78D9},,,,,felonies,No,22986,Drug
22946,24545,1332840,3582796,6.283,2010.0,M,18-21,Black,Short Split,,M8,240.0,14.0,,12.0,150.0,0.0,,0.0,Felony_Sentences_22946,{05667562-58FF-4D35-A84E-520B0D23C6CA},,,,,infractions,Yes,23891,Property
13092,11827,9736559,9498618,3.1415,2014.0,M,41-50,,Incarceration,,M6,288.0,0.0,24.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_13092,{35F8D4E6-7EEB-4124-99F6-321C4CD4F59B},,,,,misdemeanours,No,22986,Sex
6627,8513,9092924,5745156,3.1415,2016.0,M,18-21,White,Short Split,,M8,216.0,18.0,1.0,18.0,100.0,0.0,0.0,0.0,Felony_Sentences_6627,{1C79F904-C42E-428A-937C-4E1D1FDF4777},,,,,infractions,No,22986,Weapon
7184,8026,9557278,9205490,3.1415,2016.0,M,22-30,Black,Incarceration,,M8,168.0,,14.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_7184,{9048D6F8-60B0-402D-B24A-0FD9BBD6428C},,,,,felonies,No,22986,Violent
